Designator,Mid X,Mid Y,Rotation,Layer
,227.68375,-172.57125,0.0,top
BOOT1,464.46875,-178.48625,180.0,bottom
C1,455.205327,-182.999673,270.0,bottom
C10,223.24875,-165.17625,0.0,bottom
C2,225.99875,-165.42625,180.0,bottom
C3,442.96875,-177.23625,90.0,bottom
C4,443.21875,-185.98625,0.0,bottom
C5,451.71875,-176.98625,180.0,bottom
C6,453.21875,-177.48625,90.0,bottom
C7,453.955327,-182.999673,90.0,bottom
C8,223.49875,-158.42625,90.0,bottom
C9,221.99875,-161.67625,90.0,bottom
D10,396.143749,-157.73625,90.0,bottom
D11,415.193749,-157.73625,90.0,bottom
D12,439.006249,-157.73625,90.0,bottom
D13,458.056249,-157.73625,90.0,bottom
D14,477.106249,-157.73625,90.0,bottom
D15,215.168749,-176.78625,90.0,bottom
D16,231.981251,-168.78625,270.0,bottom
D17,258.031249,-176.78625,90.0,bottom
D18,277.081249,-176.78625,90.0,bottom
D19,300.893749,-176.78625,90.0,bottom
D2,231.981251,-149.73625,270.0,bottom
D20,319.943749,-176.78625,90.0,bottom
D21,338.993749,-176.78625,90.0,bottom
D22,358.043749,-176.78625,90.0,bottom
D23,377.093749,-176.78625,90.0,bottom
D24,396.143749,-176.78625,90.0,bottom
D25,415.193749,-176.78625,90.0,bottom
D26,215.168749,-195.83625,90.0,bottom
D27,238.981249,-195.83625,90.0,bottom
D28,258.031249,-195.83625,90.0,bottom
D29,277.081249,-195.83625,90.0,bottom
D3,258.031249,-157.73625,90.0,bottom
D30,300.893749,-195.83625,90.0,bottom
D31,319.943749,-195.83625,90.0,bottom
D32,338.993749,-195.83625,90.0,bottom
D33,358.043749,-195.83625,90.0,bottom
D34,377.093749,-195.83625,90.0,bottom
D35,396.143749,-195.83625,90.0,bottom
D36,415.193749,-195.83625,90.0,bottom
D37,215.168749,-214.88625,90.0,bottom
D38,238.981249,-214.88625,90.0,bottom
D39,258.031249,-214.88625,90.0,bottom
D4,277.081249,-157.73625,90.0,bottom
D40,277.081249,-214.88625,90.0,bottom
D41,305.656249,-214.88625,90.0,bottom
D42,329.468749,-214.88625,90.0,bottom
D43,348.518749,-214.88625,90.0,bottom
D44,367.568749,-214.88625,90.0,bottom
D45,386.618749,-214.88625,90.0,bottom
D46,405.3125,-223.911249,180.0,bottom
D47,458.056249,-214.88625,90.0,bottom
D48,215.168749,-233.93625,90.0,bottom
D49,238.981249,-233.93625,90.0,bottom
D5,300.893749,-157.73625,90.0,bottom
D50,258.031249,-233.93625,90.0,bottom
D51,277.081249,-233.93625,90.0,bottom
D52,300.893749,-233.93625,90.0,bottom
D53,319.943749,-233.93625,90.0,bottom
D54,355.662499,-233.93625,90.0,bottom
D55,391.381249,-233.93625,90.0,bottom
D56,439.006249,-233.93625,90.0,bottom
D57,458.056249,-233.93625,90.0,bottom
D58,477.106249,-233.93625,90.0,bottom
D6,319.943749,-157.73625,90.0,bottom
D7,338.993749,-157.73625,90.0,bottom
D8,358.043749,-157.73625,90.0,bottom
D9,377.093749,-157.73625,90.0,bottom
F1,220.49875,-159.42625,180.0,bottom
J1,220.49875,-147.17625,180.0,bottom
MX10,392.64375,-153.73625,0.0,bottom
MX11,411.69375,-153.73625,0.0,bottom
MX12,435.50625,-153.73625,0.0,bottom
MX13,454.55625,-153.73625,0.0,bottom
MX14,473.60625,-153.73625,0.0,bottom
MX15,211.66875,-172.78625,0.0,bottom
MX16,235.48125,-172.78625,180.0,bottom
MX17,254.53125,-172.78625,0.0,bottom
MX18,273.58125,-172.78625,0.0,bottom
MX19,297.39375,-172.78625,0.0,bottom
MX2,235.48125,-153.73625,180.0,bottom
MX20,316.44375,-172.78625,0.0,bottom
MX21,335.49375,-172.78625,0.0,bottom
MX22,354.54375,-172.78625,0.0,bottom
MX23,373.59375,-172.78625,0.0,bottom
MX24,392.64375,-172.78625,0.0,bottom
MX25,411.69375,-172.78625,0.0,bottom
MX26,211.66875,-191.83625,0.0,bottom
MX27,235.48125,-191.83625,0.0,bottom
MX28,254.53125,-191.83625,0.0,bottom
MX29,273.58125,-191.83625,0.0,bottom
MX3,254.53125,-153.73625,0.0,bottom
MX30,297.39375,-191.83625,0.0,bottom
MX31,316.44375,-191.83625,0.0,bottom
MX32,335.49375,-191.83625,0.0,bottom
MX33,354.54375,-191.83625,0.0,bottom
MX34,373.59375,-191.83625,0.0,bottom
MX35,392.64375,-191.83625,0.0,bottom
MX36,411.69375,-191.83625,0.0,bottom
MX37,211.66875,-210.88625,0.0,bottom
MX38,235.48125,-210.88625,0.0,bottom
MX39,254.53125,-210.88625,0.0,bottom
MX4,273.58125,-153.73625,0.0,bottom
MX40,273.58125,-210.88625,0.0,bottom
MX41,302.15625,-210.88625,0.0,bottom
MX42,325.96875,-210.88625,0.0,bottom
MX43,345.01875,-210.88625,0.0,bottom
MX44,364.06875,-210.88625,0.0,bottom
MX45,383.11875,-210.88625,0.0,bottom
MX46,409.3125,-220.41125,90.0,bottom
MX47,454.55625,-210.88625,0.0,bottom
MX48,211.66875,-229.93625,0.0,bottom
MX49,235.48125,-229.93625,0.0,bottom
MX5,297.39375,-153.73625,0.0,bottom
MX50,254.53125,-229.93625,0.0,bottom
MX51,273.58125,-229.93625,0.0,bottom
MX52,297.39375,-229.93625,0.0,bottom
MX53,316.44375,-229.93625,0.0,bottom
MX54,352.1625,-229.93625,0.0,bottom
MX55,387.88125,-229.93625,0.0,bottom
MX56,435.50625,-229.93625,0.0,bottom
MX57,454.55625,-229.93625,0.0,bottom
MX58,473.60625,-229.93625,0.0,bottom
MX6,316.44375,-153.73625,0.0,bottom
MX7,335.49375,-153.73625,0.0,bottom
MX8,354.54375,-153.73625,0.0,bottom
MX9,373.59375,-153.73625,0.0,bottom
R1,223.49875,-156.42625,0.0,bottom
R2,223.49875,-153.92625,180.0,bottom
R3,457.46875,-180.23625,270.0,bottom
R4,457.46875,-182.73625,270.0,bottom
RST1,464.46875,-184.48625,0.0,bottom
U1,447.46875,-181.48625,270.0,bottom
U2,220.49875,-155.17625,0.0,bottom
U3,224.74875,-162.67625,180.0,bottom
